VIDEOA,DESCA,VIDEOB,DESCB,VIDEOC,DESCC,VIDEOD,DESCD,VIDEOE,DESCE
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103040.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103053.mp4,"The red block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103107.mp4,"The red block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103122.mp4,"That red block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103135.mp4,"That red block right of the cup."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103149.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103203.mp4,"The purple block behind the green block and in front of and touching the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103217.mp4,"The purple block right of the plate, in front of and touching the red block and behind the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103231.mp4,"This purple block in front of and touching the red block, behind the green block and right of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103246.mp4,"That purple block right of the plate and behind the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113711.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113727.mp4,"The red block behind the purple block, in front of the green block and right of the other red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113741.mp4,"The red block in front of the green block and right of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113756.mp4,"That red block right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113810.mp4,"This red block in front of the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113824.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113838.mp4,"The purple block right of the red block and right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113852.mp4,"The purple block right of the knife, right of the red block and behind the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113906.mp4,"That purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113920.mp4,"That purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113934.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-113947.mp4,"The green block behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114001.mp4,"The green block behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114015.mp4,"That green block behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114029.mp4,"That green block behind the red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114043.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114057.mp4,"The green block left of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114111.mp4,"The green block left of the knife, left of the plate and left of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114125.mp4,"That green block left of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114139.mp4,"This green block left of the plate, left of the knife and left of the cup."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114153.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114207.mp4,"The red block left of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114221.mp4,"The red block left of the other red block, left of the purple block and left of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114235.mp4,"That red block left of the plate and left of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114250.mp4,"That red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114304.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114317.mp4,"The purple block right of the knife and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114331.mp4,"The purple block in front of the red block, right of the plate and right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114346.mp4,"That purple block right of the green block, in front of the green block and right of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-114400.mp4,"This purple block right of the green block and in front of the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115424.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115440.mp4,"The red block behind the green block and right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115454.mp4,"The red block right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115508.mp4,"That red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115522.mp4,"That red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115536.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115549.mp4,"The purple block left of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115604.mp4,"The purple block left of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115617.mp4,"That purple block left of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115631.mp4,"That purple block left of the cup."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115645.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115659.mp4,"The green block in front of the plate and right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115713.mp4,"The green block right of the cup and in front of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115728.mp4,"That green block right of the cup, in front of the red block and in front of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115742.mp4,"That green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115756.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115810.mp4,"The green block behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115824.mp4,"The green block left of the plate and behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115838.mp4,"That green block left of the plate and behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115852.mp4,"That green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115906.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115920.mp4,"The red block in front of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115934.mp4,"The red block in front of the purple block and in front of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-115948.mp4,"This red block in front of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120002.mp4,"This red block in front of the green block and in front of the purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120017.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120030.mp4,"The purple block behind the cup and behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120045.mp4,"The purple block behind the cup and behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120059.mp4,"That purple block behind the cup and behind the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120113.mp4,"That purple block behind the cup and behind the red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120130.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120145.mp4,"The red block behind the other red block and right of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120200.mp4,"The red block right of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120214.mp4,"That red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120228.mp4,"That red block right of the green block and behind the other red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120242.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120256.mp4,"The purple block right of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120310.mp4,"The purple block right of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120324.mp4,"That purple block right of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120338.mp4,"That purple block right of the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120352.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120406.mp4,"The green block behind the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120420.mp4,"The green block behind the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120434.mp4,"That green block behind the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120448.mp4,"That green block behind the cup."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120503.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120517.mp4,"The green block left of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120531.mp4,"The green block left of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120545.mp4,"This green block left of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120559.mp4,"That green block left of the red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120613.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120627.mp4,"The red block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120642.mp4,"The red block right of the cup and right of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120656.mp4,"That red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120710.mp4,"This red block in front of the other red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120724.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120738.mp4,"The purple block left of the cup and left of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120752.mp4,"The purple block left of the plate and left of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120806.mp4,"This purple block left of the cup and left of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-120820.mp4,"This purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-121112.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-121127.mp4,"The red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-121141.mp4,"The red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-121155.mp4,"That red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-121209.mp4,"That red block."
